1,2,1,4,1,4,2025-08-30,2025-08-24 20:27,canceled,200
2,2,1,4,1,2,2025-08-28,2025-08-27 15:52,booked,66
3,2,1,4,1,2,2025-08-31,2025-08-27 16:09,booked,66
4,5,1,4,1,2,2025-09-03,2025-09-02 16:48,booked,66
5,5,2,16,5,6,2025-09-03,2025-09-02 16:53,booked,28
6,5,2,17,6,7,2025-09-03,2025-09-02 16:53,booked,28
7,5,2,18,7,8,2025-09-03,2025-09-02 16:53,canceled,28
8,5,1,4,1,2,2025-09-04,2025-09-02 17:01,canceled,66
9,5,3,28,13,14,2025-09-03,2025-09-02 17:12,canceled,22
10,5,1,4,1,2,2025-09-08,2025-09-07 14:25,booked,100
11,5,1,5,2,3,2025-09-08,2025-09-07 14:26,booked,100
12,6,2,13,5,10,2025-09-10,2025-09-07 14:29,canceled,357
13,6,3,25,13,11,2025-09-08,2025-09-07 14:29,canceled,444
14,6,3,26,13,18,2025-09-08,2025-09-07 14:29,booked,277
